Neighborhood,Latitude,Longitude
Cantonment,12.975660000000062,77.60542000000004
British Raj,12.966180000000065,77.58690000000007
Richmond Town,12.962330000000065,77.60123000000004
Austin Town,12.963480000000061,77.61297000000008
Murphy Town,12.980030000000056,77.62776000000008
Fraser Town,12.998940000000061,77.61276000000004
Cox Town,12.995940000000076,77.62644000000006
Domlur,12.943290000000047,77.65602000000007
 ,12.966180000000065,77.58690000000007
HAL,12.960930000000076,77.66419000000008
Indiranagar,13.030060000000049,77.49526000000003
 ,12.966180000000065,77.58690000000007
100 Feet Road,12.906497993046978,77.5731947496832
Rajajinagar,13.005440000000021,77.55693000000008
Malleswaram,13.006319846827683,77.5684048532483
 ,12.966180000000065,77.58690000000007
Pete,12.966180000000065,77.58690000000007
 ,12.966180000000065,77.58690000000007
Kempe Gowda I,12.975541333026133,77.52386244169534
Chickpet,12.970150000000046,77.57589000000007
K. R. Market,12.962350000000072,77.57604000000003
Avenue Road,12.96849098279701,77.57898229462776
Sadashivanagar,13.014830000000075,77.57771000000008
Anugraha,12.961200000000076,77.51071000000007
Seshadripuram,12.993550000000027,77.57988000000006
Shivajinagar,12.98720000000003,77.60401000000007
 ,12.966180000000065,77.58690000000007
Russell Market,12.985070000000064,77.60551000000004
Bangalore Cantonment railway station,12.993470000000059,77.59801000000004
Ulsoor,12.989080000000058,77.62795000000006
 ,12.966180000000065,77.58690000000007
Ulsoor Lake,12.985830000000021,77.62151000000006
M G Road,12.97669188903553,77.60087618100448
Vasanth Nagar,12.990730000000042,77.58861000000007
Bangalore Palace,12.999140000000068,77.59220000000005
Cunningham Road,12.982312431113064,77.59889960952287
Edit,12.867200000000025,74.84081000000003
 ,12.966180000000065,77.58690000000007
 ,12.966180000000065,77.58690000000007
Bellandur,12.927340000000072,77.67169000000007
 ,12.966180000000065,77.58690000000007
Outer Ring Road,12.973185606712216,77.6985220545188
Bellandur Lake,12.943370000000073,77.66421000000008
CV Raman Nagar,12.979001728079757,77.65613222110436
 ,12.966180000000065,77.58690000000007
Bagmane Tech Park,12.979930000000024,77.65646000000004
Hoodi,12.99198000000007,77.71506000000005
Krishnarajapuram,13.000390000000039,77.68368000000004
 ,12.966180000000065,77.58690000000007
Karnataka,12.966180000000065,77.58690000000007
Mahadevapura,12.994090000000028,77.66633000000007
 ,12.966180000000065,77.58690000000007
Phoenix Market City,12.996000000000038,77.69601000000006
Marathahalli,12.954660000000047,77.70752000000005
 ,12.966180000000065,77.58690000000007
Old Airport Road,12.956574096427746,77.67554791427906
Varthur,12.943480000000022,77.74703000000005
 ,12.966180000000065,77.58690000000007
Whitefield,12.975230000000067,77.75238000000007
ITPL,12.966180000000065,77.58690000000007
Edit,12.867200000000025,74.84081000000003
 ,12.966180000000065,77.58690000000007
 ,12.966180000000065,77.58690000000007
Banaswadi,13.019526632499165,77.65502770568062
HBR Layout,13.02642000000003,77.62437000000006
Horamavu,13.038700000000063,77.66192000000007
 ,12.966180000000065,77.58690000000007
Kalyan Nagar,12.968020000000024,77.52114000000006
Kammanahalli,13.014300000000048,77.63685000000004
Lingarajapuram,13.005480000000034,77.62597000000005
Ramamurthy Nagar,13.023820000000057,77.67785000000003
 ,12.966180000000065,77.58690000000007
Edit,12.867200000000025,74.84081000000003
 ,12.966180000000065,77.58690000000007
 ,12.966180000000065,77.58690000000007
Hebbal,13.049810000000036,77.58903000000004
 ,12.966180000000065,77.58690000000007
Jalahalli,13.054500000000075,77.52658000000008
 ,12.966180000000065,77.58690000000007
Mathikere,13.032350000000065,77.55866000000003
 ,12.966180000000065,77.58690000000007
Peenya,13.031880000000058,77.52654000000007
R. T. Nagar,13.024450000000058,77.59590000000003
 ,12.966180000000065,77.58690000000007
Vidyaranyapura,13.079270000000065,77.55914000000007
Yelahanka,13.09931000000006,77.59259000000003
 ,12.966180000000065,77.58690000000007
Yeshwanthpur,13.029550000000029,77.54022000000003
 ,12.966180000000065,77.58690000000007
Edit,12.867200000000025,74.84081000000003
 ,12.966180000000065,77.58690000000007
 ,12.966180000000065,77.58690000000007
Bommanahalli,12.903080000000045,77.62444000000005
Bommasandra,12.817530000000033,77.67879000000005
BTM Layout,12.914950000000033,77.61001000000005
 ,12.966180000000065,77.58690000000007
Electronic City,12.845470000000034,77.66430000000008
 ,12.966180000000065,77.58690000000007
Infosys,12.933580000000063,77.61824000000007
Wipro,12.91112000000004,77.68378000000007
flyover,12.963262126368079,77.5672432737825
HSR Layout,12.912220000000048,77.64470000000006
 ,12.966180000000065,77.58690000000007
Hosur Road,12.934194887479803,77.6103567739975
Koramangala,12.920040000000029,77.62546000000003
 ,12.966180000000065,77.58690000000007
Madiwala,12.920520000000067,77.62090000000006
 ,12.966180000000065,77.58690000000007
Madiwala Lake,12.911060000000077,77.61566000000005
Edit,12.867200000000025,74.84081000000003
 ,12.966180000000065,77.58690000000007
 ,12.966180000000065,77.58690000000007
Banashankari,12.922310000000039,77.56988000000007
 ,12.966180000000065,77.58690000000007
Basavanagudi,12.938980000000072,77.57137000000006
 ,12.966180000000065,77.58690000000007
Girinagar,12.942790000000059,77.54122000000007
J. P. Nagar,12.908310000000029,77.59024000000005
 ,12.966180000000065,77.58690000000007
Jayanagar,12.928720000000055,77.58281000000005
 ,12.966180000000065,77.58690000000007
Kumaraswamy Layout,12.898190000000056,77.55927000000008
Padmanabhanagar,12.91814000000005,77.55940000000004
Uttarahalli,12.89757000000003,77.52830000000006
Edit,12.867200000000025,74.84081000000003
 ,12.966180000000065,77.58690000000007
 ,12.966180000000065,77.58690000000007
Anjanapura,12.858110000000067,77.55909000000008
Arekere,12.885680000000036,77.59668000000005
Begur,12.882450000000063,77.62475000000006
 ,12.966180000000065,77.58690000000007
Gottigere,12.855680000000064,77.58557000000008
 ,12.966180000000065,77.58690000000007
Hulimavu,12.880640000000028,77.60147000000006
Kothnur,13.064340000000072,77.64855000000006
Edit,12.867200000000025,74.84081000000003
 ,12.966180000000065,77.58690000000007
 ,12.966180000000065,77.58690000000007
Basaveshwaranagar,12.986740000000054,77.54389000000003
Basavanna,13.070636138441758,77.53997690666873
Kamakshipalya,12.986990000000048,77.52484000000004
Kengeri,12.908700000000067,77.48714000000007
 ,12.966180000000065,77.58690000000007
railway station,13.091820000000041,77.48950000000008
Namma Metro,12.892690000000073,77.56678000000005
Bangalore Development Authority,12.92121000000003,77.48304000000007
Mahalakshmi Layout,13.016350000000045,77.54481000000004
 ,12.966180000000065,77.58690000000007
Yeshwantpur,13.039120000000025,77.57797000000005
ISKCON Temple,12.99401000000006,77.57918000000006
Nagarbhavi,12.956240000000037,77.50936000000007
 ,12.966180000000065,77.58690000000007
Bangalore University,12.787560000000042,77.49852000000004
National Law School of India University,12.951630000000023,77.51572000000004
Nandini Layout,13.014810000000068,77.53891000000004
Nayandahalli,12.942050000000052,77.52100000000007
Mysore Road Satellite Bus Station,12.953790000000026,77.54333000000008
Mysore Road metro station,12.946390000000065,77.53058000000004
NICE Road,12.893067714399862,77.4794780935892
Rajajinagar,13.005440000000021,77.55693000000008
Rajarajeshwari Nagar,12.93178000000006,77.52668000000006
 ,12.966180000000065,77.58690000000007
Global Village Tech Park,12.91972079965457,77.50353072851136
Vijayanagar,13.076000000000022,77.65238000000005
Vijayanagara Empire,13.076000000000022,77.65238000000005
Edit,12.867200000000025,74.84081000000003
Attibele,12.779710000000023,77.77058000000005
NH44,13.034885615233227,77.58880844038114
SH35,12.905130756340947,77.74675805239765
Anekal,12.709560000000067,77.69804000000005
SH35,12.905130756340947,77.74675805239765
Chandapura,12.794010000000071,77.70015000000006
NH44,13.034885615233227,77.58880844038114
Thavarekere,12.922450000000026,77.61033000000003
Chikkabanavara,13.072135021477997,77.51375007793015
SH39,13.104358987031164,77.47808600939935
Hesaraghatta,13.139280000000042,77.47976000000006
SH39,13.104358987031164,77.47808600939935
Jigani,12.781130000000076,77.64258000000007
SH87,12.928390054930183,77.60057012438801
Nelamangala,13.100390000000061,77.39079000000004
NH48,13.034885615233227,77.58880844038114
NH75,13.056310833985254,77.47471199649002
Sarjapura,12.860720000000072,77.78360000000004
NH648,12.836791830778477,77.84757652465527
SH35,12.905130756340947,77.74675805239765
Edit,12.867200000000025,74.84081000000003
